estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_prsns_ttl_nm, lga_name_2019, yr, lga_code_2019
328428,Sunshine Coast ,2019,36720
25575,Tablelands ,2019,36820
169008,Toowoomba ,2019,36910
3887,Torres ,2019,36950
195032,Townsville ,2019,37010
4333,Weipa ,2019,37300
35357,Whitsunday ,2019,37340
1153,Winton ,2019,37400
39977,Adelaide Hills ,2019,40120
1016,Woorabinda ,2019,37550
9137,Adelaide Plains ,2019,40150
312,Wujal Wujal ,2019,37570
1359760,Adelaide ,2019,40070
2573,Anangu Pitjantjatjara ,2019,40250
10842,Berri and Barmera ,2019,40520
52192,Campbelltown  ,2019,40910
1792,Cleve ,2019,41190
3442,Ceduna ,2019,41010
118943,Charles Sturt ,2019,41060
15010,Copper Coast ,2019,41560
9424,Clare and Gilbert Valleys ,2019,41140
1834,Coober Pedy ,2019,41330
1008,Elliston ,2019,41750
1692,Flinders Ranges ,2019,41830
1304,Franklin Harbour ,2019,41960
24416,Gawler ,2019,42030
4190,Goyder ,2019,42110
8584,Grant ,2019,42250
37435,Holdfast Bay ,2019,42600
4983,Kangaroo Island ,2019,42750
1107,Karoonda East Murray ,2019,43080
1065,Kimba ,2019,43220
2371,Kingston  ,2019,43360
15359,Light (RegC),2019,43650
5780,Lower Eyre Peninsula ,2019,43710
11743,Loxton Waikerie ,2019,43790
93448,Marion ,2019,44060
9094,Mid Murray ,2019,44210
64,Maralinga Tjarutja ,2019,44000
67474,Mitcham ,2019,44340
36571,Mount Barker ,2019,44550
27275,Mount Gambier ,2019,44620
2909,Mount Remarkable ,2019,44830
22495,Murray Bridge ,2019,45040
4619,Northern Areas ,2019,45120
37056,Norwood Payneham St Peters ,2019,45290
8555,Naracoorte and Lucindale ,2019,45090
172938,Onkaparinga ,2019,45340
850,Orroroo/Carrieton ,2019,45400
94848,Playford ,2019,45680
127740,Port Adelaide Enfield ,2019,45890
1687,Peterborough ,2019,45540
13862,Port Augusta ,2019,46090
14718,Port Lincoln ,2019,46300
17634,Port Pirie City and Dists ,2019,46450
21520,Prospect ,2019,46510
9907,Renmark Paringa ,2019,46670
1450,Robe ,2019,46860
143560,Salisbury ,2019,47140
3954,Roxby Downs ,2019,46970
2080,Southern Mallee ,2019,47290
2192,Streaky Bay ,2019,47490
6816,Tatiara ,2019,47630
100261,Tea Tree Gully ,2019,47700
5429,The Coorong ,2019,47800
15465,Victor Harbor ,2019,48050
2702,Tumby Bay ,2019,47910
6838,Wakefield ,2019,48130
12041,Wattle Range ,2019,48340
39208,Unley ,2019,47980
8000,Walkerville ,2019,48260
60842,West Torrens ,2019,48410
21665,Whyalla ,2019,48540
5572,Yankalilla ,2019,48750
1300,Wudinna ,2019,48640
11324,Yorke Peninsula ,2019,48830
3514,Unincorporated SA,2019,49399
38053,Albany ,2019,50080
90797,Armadale ,2019,50210
